Date,Sector,State,Number of Records,Values
01-01-2003,Political:Total Persons involved in corruption,Haryana,1,233
01-01-2003,Political:Total Persons involved in corruption,Himachal Pradesh,1,57
01-01-2003,Political:Total Persons involved in corruption,Jammu and Kashmir,1,128
01-01-2003,Political:Total Persons involved in corruption,Jharkhand,1,13
01-01-2003,Political:Total Persons involved in corruption,Karnataka,1,489
01-01-2003,Political:Total Persons involved in corruption,Kerala,1,765
01-01-2003,Political:Total Persons involved in corruption,Lakshadweep,1,7
01-01-2003,Political:Total Persons involved in corruption,Madhya Pradesh,1,236
01-01-2003,Political:Total Persons involved in corruption,Maharashtra,1,850
01-01-2003,Political:Total Persons involved in corruption,Manipur,1,8
01-01-2003,Political:Total Persons involved in corruption,Meghalaya,1,0
01-01-2003,Political:Total Persons involved in corruption,Mizoram,1,0
01-01-2003,Political:Total Persons involved in corruption,Nagaland,1,0
01-01-2003,Political:Total Persons involved in corruption,Odisha,1,780
01-01-2003,Political:Total Persons involved in corruption,Puducherry,1,1
01-01-2003,Political:Total Persons involved in corruption,Punjab,1,409
01-01-2003,Political:Total Persons involved in corruption,Rajasthan,1,23
01-01-2003,Political:Total Persons involved in corruption,Sikkim,1,0
01-01-2003,Political:Total Persons involved in corruption,Tamil Nadu,1,252
01-01-2003,Political:Total Persons involved in corruption,Telangana,1,250
01-01-2003,Political:Total Persons involved in corruption,Tripura,1,0
01-01-2003,Political:Total Persons involved in corruption,Uttar Pradesh,1,151
01-01-2003,Political:Total Persons involved in corruption,Uttarakhand,1,3
01-01-2003,Political:Total Persons involved in corruption,West Bengal,1,0
01-01-2004,Demographic:Poverty(% of Persons ),Daman & Diu,1,8.8
01-01-2004,Demographic:Poverty(% of Persons ),Lakshadweep,1,6.4
01-01-2004,Economic:GDP in crore,Andaman & Nicobar Islands,1,0
01-01-2004,Economic:GDP in crore,Andhra Pradesh,1,0
01-01-2004,Economic:GDP in crore,Arunachal Pradesh,1,0
01-01-2004,Economic:GDP in crore,Assam,1,0
01-01-2004,Economic:GDP in crore,Bihar,1,0
01-01-2004,Economic:GDP in crore,Chandigarh,1,0
01-01-2004,Economic:GDP in crore,Chhattisgarh,1,0
01-01-2004,Economic:GDP in crore,Dadra & Nagar Haveli,1,0
01-01-2004,Economic:GDP in crore,Daman & Diu,1,0
01-01-2004,Economic:GDP in crore,Delhi,1,0
01-01-2004,Economic:GDP in crore,Goa,1,0
01-01-2004,Economic:GDP in crore,Gujarat,1,0
01-01-2004,Economic:GDP in crore,Haryana,1,0
01-01-2004,Economic:GDP in crore,Himachal Pradesh,1,0
01-01-2004,Economic:GDP in crore,Jammu and Kashmir,1,0
01-01-2004,Economic:GDP in crore,Jharkhand,1,0
01-01-2004,Economic:GDP in crore,Karnataka,1,0
01-01-2004,Economic:GDP in crore,Kerala,1,0
01-01-2004,Economic:GDP in crore,Lakshadweep,1,0
01-01-2004,Economic:GDP in crore,Madhya Pradesh,1,0
01-01-2004,Economic:GDP in crore,Maharashtra,1,0
01-01-2004,Economic:GDP in crore,Manipur,1,0
01-01-2004,Economic:GDP in crore,Meghalaya,1,0
01-01-2004,Economic:GDP in crore,Mizoram,1,0
01-01-2004,Economic:GDP in crore,Nagaland,1,0
01-01-2004,Economic:GDP in crore,Odisha,1,0
01-01-2004,Economic:GDP in crore,Puducherry,1,9783.07
01-01-2004,Economic:GDP in crore,Punjab,1,0
01-01-2004,Economic:GDP in crore,Rajasthan,1,0
01-01-2004,Economic:GDP in crore,Sikkim,1,0
01-01-2004,Economic:GDP in crore,Tamil Nadu,1,0
01-01-2004,Economic:GDP in crore,Telangana,1,0
01-01-2004,Economic:GDP in crore,Tripura,1,0
01-01-2004,Economic:GDP in crore,Uttar Pradesh,1,0
01-01-2004,Economic:GDP in crore,Uttarakhand,1,0
01-01-2004,Economic:GDP in crore,West Bengal,1,0
01-01-2004,Political:Total Persons involved in corruption,Andaman & Nicobar Islands,1,3
01-01-2004,Political:Total Persons involved in corruption,Andhra Pradesh,1,153
01-01-2004,Political:Total Persons involved in corruption,Arunachal Pradesh,1,0
01-01-2004,Political:Total Persons involved in corruption,Assam,1,27
01-01-2004,Political:Total Persons involved in corruption,Bihar,1,146
01-01-2004,Political:Total Persons involved in corruption,Chandigarh,1,6
01-01-2004,Political:Total Persons involved in corruption,Chhattisgarh,1,34
01-01-2004,Political:Total Persons involved in corruption,Dadra & Nagar Haveli,1,0
01-01-2004,Political:Total Persons involved in corruption,Daman & Diu,1,0
01-01-2004,Political:Total Persons involved in corruption,Delhi,1,63
01-01-2004,Political:Total Persons involved in corruption,Goa,1,0
01-01-2004,Political:Total Persons involved in corruption,Gujarat,1,263
01-01-2004,Political:Total Persons involved in corruption,Haryana,1,283
01-01-2004,Political:Total Persons involved in corruption,Himachal Pradesh,1,46
01-01-2004,Political:Total Persons involved in corruption,Jammu and Kashmir,1,49
01-01-2004,Political:Total Persons involved in corruption,Jharkhand,1,1
01-01-2004,Political:Total Persons involved in corruption,Karnataka,1,98
01-01-2004,Political:Total Persons involved in corruption,Kerala,1,337
01-01-2004,Political:Total Persons involved in corruption,Lakshadweep,1,0
01-01-2004,Political:Total Persons involved in corruption,Madhya Pradesh,1,129
01-01-2004,Political:Total Persons involved in corruption,Maharashtra,1,653
01-01-2004,Political:Total Persons involved in corruption,Manipur,1,1
01-01-2004,Political:Total Persons involved in corruption,Meghalaya,1,0
01-01-2004,Political:Total Persons involved in corruption,Mizoram,1,0
01-01-2004,Political:Total Persons involved in corruption,Nagaland,1,247
01-01-2004,Political:Total Persons involved in corruption,Odisha,1,631
01-01-2004,Political:Total Persons involved in corruption,Puducherry,1,0
01-01-2004,Political:Total Persons involved in corruption,Punjab,1,685
01-01-2004,Political:Total Persons involved in corruption,Rajasthan,1,10
01-01-2004,Political:Total Persons involved in corruption,Sikkim,1,40
01-01-2004,Political:Total Persons involved in corruption,Tamil Nadu,1,155
01-01-2004,Political:Total Persons involved in corruption,Telangana,1,153
01-01-2004,Political:Total Persons involved in corruption,Tripura,1,0
01-01-2004,Political:Total Persons involved in corruption,Uttar Pradesh,1,129
01-01-2004,Political:Total Persons involved in corruption,Uttarakhand,1,1
01-01-2004,Political:Total Persons involved in corruption,West Bengal,1,0
01-01-2005,Demographic:Poverty(% of Persons ),Andaman & Nicobar Islands,1,3
01-01-2005,Demographic:Poverty(% of Persons ),Andhra Pradesh,1,29.6
01-01-2005,Demographic:Poverty(% of Persons ),Arunachal Pradesh,1,31.4
01-01-2005,Demographic:Poverty(% of Persons ),Assam,1,34.4
01-01-2005,Demographic:Poverty(% of Persons ),Bihar,1,54.4
01-01-2005,Demographic:Poverty(% of Persons ),Chandigarh,1,11.6
01-01-2005,Demographic:Poverty(% of Persons ),Chhattisgarh,1,49.4
01-01-2005,Demographic:Poverty(% of Persons ),Delhi,1,13
01-01-2005,Demographic:Poverty(% of Persons ),Goa,1,24.9
01-01-2005,Demographic:Poverty(% of Persons ),Gujarat,1,31.6
01-01-2005,Demographic:Poverty(% of Persons ),Haryana,1,24.1
01-01-2005,Demographic:Poverty(% of Persons ),Himachal Pradesh,1,22.9
01-01-2005,Demographic:Poverty(% of Persons ),Jammu and Kashmir,1,13.1
01-01-2005,Demographic:Poverty(% of Persons ),Jharkhand,1,45.3
01-01-2005,Demographic:Poverty(% of Persons ),Karnataka,1,33.3
01-01-2005,Demographic:Poverty(% of Persons ),Kerala,1,19.6
01-01-2005,Demographic:Poverty(% of Persons ),Madhya Pradesh,1,48.6
01-01-2005,Demographic:Poverty(% of Persons ),Maharashtra,1,38.2
01-01-2005,Demographic:Poverty(% of Persons ),Manipur,1,37.9
01-01-2005,Demographic:Poverty(% of Persons ),Meghalaya,1,16.1
01-01-2005,Demographic:Poverty(% of Persons ),Mizoram,1,15.4
01-01-2005,Demographic:Poverty(% of Persons ),Nagaland,1,8.8
01-01-2005,Demographic:Poverty(% of Persons ),Odisha,1,57.2
01-01-2005,Demographic:Poverty(% of Persons ),Puducherry,1,14.2
01-01-2005,Demographic:Poverty(% of Persons ),Punjab,1,20.9
01-01-2005,Demographic:Poverty(% of Persons ),Rajasthan,1,34.4
01-01-2005,Demographic:Poverty(% of Persons ),Sikkim,1,30.9
01-01-2005,Demographic:Poverty(% of Persons ),Tamil Nadu,1,29.4
01-01-2005,Demographic:Poverty(% of Persons ),Telangana,1,29.6
01-01-2005,Demographic:Poverty(% of Persons ),Tripura,1,40
01-01-2005,Demographic:Poverty(% of Persons ),Uttar Pradesh,1,40.9
01-01-2005,Demographic:Poverty(% of Persons ),Uttarakhand,1,32.7
01-01-2005,Demographic:Poverty(% of Persons ),West Bengal,1,34.2
01-01-2005,Economic:GDP in crore,Andaman & Nicobar Islands,1,2083.09
01-01-2005,Economic:GDP in crore,Andhra Pradesh,1,244411.72
01-01-2005,Economic:GDP in crore,Arunachal Pradesh,1,4142.02
01-01-2005,Economic:GDP in crore,Assam,1,59138.85
01-01-2005,Economic:GDP in crore,Bihar,1,118032.39
01-01-2005,Economic:GDP in crore,Chandigarh,1,8911.55
01-01-2005,Economic:GDP in crore,Chhattisgarh,1,58161.83
01-01-2005,Economic:GDP in crore,Dadra & Nagar Haveli,1,0
01-01-2005,Economic:GDP in crore,Daman & Diu,1,0
01-01-2005,Economic:GDP in crore,Delhi,1,188353.08
01-01-2005,Economic:GDP in crore,Goa,1,15974.1
01-01-2005,Economic:GDP in crore,Gujarat,1,233544
01-01-2005,Economic:GDP in crore,Haryana,1,112424.75
01-01-2005,Economic:GDP in crore,Himachal Pradesh,1,28949.5
01-01-2005,Economic:GDP in crore,Jammu and Kashmir,1,39607.35
01-01-2005,Economic:GDP in crore,Jharkhand,1,79904.77
01-01-2005,Economic:GDP in crore,Karnataka,1,189452.26
